Date,Team 1,FT,Team 2
Sat Oct 17 2020,Al-Shabab,1-0,Abha
Sat Oct 17 2020,Al-Taawoun,1-1,Al-Faisaly
Sat Oct 17 2020,Al-Wehda,2-1,Al-Qadsiah
Sat Oct 17 2020,Al-Hilal,1-0,Al-Ain
Sun Oct 18 2020,Al-Batin,0-1,Al-Ahli
Sun Oct 18 2020,Al-Nassr,1-2,Al-Fateh
Sun Oct 18 2020,Damac,2-3,Al-Raed
Sun Oct 18 2020,Al-Ittihad,1-2,Al-Ettifaq
Thu Oct 22 2020,Abha,1-1,Al-Hilal
Thu Oct 22 2020,Al-Taawoun,1-0,Al-Nassr
Thu Oct 22 2020,Al-Ahli,1-0,Al-Wehda
Fri Oct 23 2020,Al-Qadsiah,2-1,Damac
Fri Oct 23 2020,Al-Raed,2-2,Al-Shabab
Fri Oct 23 2020,Al-Faisaly,2-1,Al-Batin
Sat Oct 24 2020,Al-Ettifaq,2-1,Al-Ain
Sat Oct 24 2020,Al-Fateh,2-2,Al-Ittihad
Thu Oct 29 2020,Al-Batin,2-1,Al-Raed
Thu Oct 29 2020,Al-Qadsiah,1-0,Al-Taawoun
Fri Oct 30 2020,Al-Ain,2-4,Al-Fateh
Fri Oct 30 2020,Al-Wehda,1-2,Al-Faisaly
Sat Oct 31 2020,Al-Hilal,2-0,Damac
Sat Oct 31 2020,Abha,3-2,Al-Ettifaq
Sat Oct 31 2020,Al-Ittihad,2-0,Al-Ahli
Sun Nov 01 2020,Al-Shabab,2-1,Al-Nassr
Thu Nov 05 2020,Al-Wehda,2-3,Al-Raed
Fri Nov 06 2020,Damac,0-0,Al-Faisaly
Fri Nov 06 2020,Al-Ettifaq,0-2,Al-Hilal
Fri Nov 06 2020,Al-Batin,3-0,Abha
Fri Nov 06 2020,Al-Ittihad,1-1,Al-Taawoun
Sat Nov 07 2020,Al-Ain,3-4,Al-Ahli
Sat Nov 07 2020,Al-Fateh,1-3,Al-Shabab
Sat Nov 07 2020,Al-Nassr,2-0,Al-Qadsiah
Mon Nov 23 2020,Al-Raed,2-1,Abha
Mon Nov 23 2020,Damac,0-2,Al-Ain
Mon Nov 23 2020,Al-Qadsiah,2-2,Al-Batin
Mon Nov 23 2020,Al-Faisaly,1-1,Al-Ittihad
Mon Nov 23 2020,Al-Ahli,2-2,Al-Shabab
Mon Nov 23 2020,Al-Hilal,2-0,Al-Nassr
Tue Nov 24 2020,Al-Taawoun,1-0,Al-Wehda
Tue Nov 24 2020,Al-Ettifaq,0-4,Al-Fateh
Fri Nov 27 2020,Al-Shabab,2-1,Damac
Fri Nov 27 2020,Al-Ittihad,1-0,Al-Qadsiah
Sat Nov 28 2020,Al-Ain,1-0,Al-Raed
Sun Nov 29 2020,Al-Taawoun,1-1,Al-Ettifaq
Sun Nov 29 2020,Al-Wehda,3-2,Al-Batin
Sun Nov 29 2020,Al-Ahli,2-1,Al-Faisaly
Thu Dec 03 2020,Abha,2-1,Al-Nassr
Thu Dec 03 2020,Al-Hilal,3-0,Al-Fateh
Sat Dec 05 2020,Damac,4-3,Al-Ahli
Sat Dec 05 2020,Al-Batin,1-1,Al-Taawoun
Sat Dec 05 2020,Al-Faisaly,1-1,Al-Ain
Sun Dec 06 2020,Al-Qadsiah,2-1,Al-Shabab
Sun Dec 06 2020,Al-Wehda,1-2,Al-Ittihad
Mon Dec 07 2020,Al-Fateh,1-3,Abha
Mon Dec 07 2020,Al-Raed,0-1,Al-Hilal
Mon Dec 07 2020,Al-Nassr,2-2,Al-Ettifaq
Fri Dec 11 2020,Al-Ain,1-2,Al-Qadsiah
Fri Dec 11 2020,Al-Raed,0-2,Al-Faisaly
Fri Dec 11 2020,Al-Shabab,1-1,Al-Ittihad
Sat Dec 12 2020,Abha,0-0,Al-Taawoun
Sat Dec 12 2020,Al-Ettifaq,4-2,Damac
Sat Dec 12 2020,Al-Fateh,1-2,Al-Batin
Sat Dec 12 2020,Al-Nassr,1-2,Al-Ahli
Sun Dec 13 2020,Al-Hilal,1-2,Al-Wehda
Mon Dec 21 2020,Al-Batin,1-2,Al-Nassr
Mon Dec 21 2020,Al-Qadsiah,1-3,Al-Hilal
Mon Dec 21 2020,Al-Taawoun,4-0,Al-Shabab
Mon Dec 21 2020,Al-Ittihad,0-0,Al-Raed
Tue Dec 22 2020,Damac,2-1,Abha
Tue Dec 22 2020,Al-Faisaly,0-3,Al-Ettifaq
Tue Dec 22 2020,Al-Wehda,2-1,Al-Ain
Tue Dec 22 2020,Al-Ahli,1-0,Al-Fateh
Sat Dec 26 2020,Al-Shabab,3-1,Al-Batin
Sat Dec 26 2020,Al-Nassr,2-2,Damac
Sat Dec 26 2020,Al-Hilal,1-1,Al-Ittihad
Sun Dec 27 2020,Abha,0-1,Al-Wehda
Sun Dec 27 2020,Al-Ain,1-0,Al-Taawoun
Sun Dec 27 2020,Al-Fateh,3-2,Al-Faisaly
Sun Dec 27 2020,Al-Raed,1-2,Al-Ahli
Sun Dec 27 2020,Al-Qadsiah,1-2,Al-Ettifaq
Thu Dec 31 2020,Al-Batin,1-2,Al-Ittihad
Thu Dec 31 2020,Al-Faisaly,2-3,Al-Nassr
Thu Dec 31 2020,Al-Hilal,1-1,Al-Shabab
Fri Jan 01 2021,Damac,1-2,Al-Fateh
Fri Jan 01 2021,Al-Ain,2-4,Abha
Fri Jan 01 2021,Al-Ettifaq,1-2,Al-Wehda
Sat Jan 02 2021,Al-Raed,2-2,Al-Qadsiah
Sat Jan 02 2021,Al-Ahli,0-3,Al-Taawoun
Thu Jan 07 2021,Abha,1-0,Al-Faisaly
Thu Jan 07 2021,Al-Wehda,0-0,Al-Fateh
Fri Jan 08 2021,Al-Batin,2-2,Al-Hilal
Fri Jan 08 2021,Al-Qadsiah,3-1,Al-Ahli
Fri Jan 08 2021,Al-Nassr,3-0,Al-Ain
Sat Jan 09 2021,Al-Taawoun,0-0,Al-Raed
Sat Jan 09 2021,Al-Shabab,1-0,Al-Ettifaq
Sat Jan 09 2021,Al-Ittihad,1-0,Damac
Thu Jan 14 2021,Al-Faisaly,2-2,Al-Qadsiah
Thu Jan 14 2021,Al-Ain,0-3,Al-Shabab
Thu Jan 14 2021,Al-Ettifaq,1-1,Al-Batin
Thu Jan 14 2021,Al-Fateh,1-2,Al-Taawoun
Thu Jan 14 2021,Al-Ittihad,0-1,Abha
Fri Jan 15 2021,Damac,0-0,Al-Wehda
Fri Jan 15 2021,Al-Raed,0-1,Al-Nassr
Fri Jan 15 2021,Al-Ahli,0-0,Al-Hilal
Tue Jan 19 2021,Al-Raed,2-3,Al-Ettifaq
Tue Jan 19 2021,Al-Ain,1-2,Al-Ittihad
Tue Jan 19 2021,Al-Qadsiah,1-1,Al-Fateh
Tue Jan 19 2021,Al-Shabab,1-1,Al-Faisaly
Tue Jan 19 2021,Al-Ahli,3-0,Abha
Wed Jan 20 2021,Damac,2-0,Al-Batin
Wed Jan 20 2021,Al-Hilal,2-0,Al-Taawoun
Wed Jan 20 2021,Al-Nassr,3-1,Al-Wehda
Sun Jan 24 2021,Abha,2-2,Al-Qadsiah
Sun Jan 24 2021,Al-Fateh,0-2,Al-Raed
Sun Jan 24 2021,Al-Ittihad,1-1,Al-Nassr
Sun Jan 24 2021,Al-Ettifaq,1-2,Al-Ahli
Mon Jan 25 2021,Al-Taawoun,3-1,Damac
Mon Jan 25 2021,Al-Faisaly,1-1,Al-Hilal
Mon Jan 25 2021,Al-Wehda,2-4,Al-Shabab
Tue Jan 26 2021,Al-Batin,2-1,Al-Ain
Sat Jan 30 2021,Al-Faisaly,0-0,Al-Taawoun
Sat Jan 30 2021,Abha,2-3,Al-Shabab
Sat Jan 30 2021,Al-Ettifaq,2-0,Al-Ittihad
Sun Jan 31 2021,Al-Raed,4-2,Damac
Sun Jan 31 2021,Al-Qadsiah,2-2,Al-Wehda
Sun Jan 31 2021,Al-Ahli,2-2,Al-Batin
Thu Feb 04 2021,Al-Ain,1-0,Al-Ettifaq
Thu Feb 04 2021,Al-Hilal,2-3,Abha
Thu Feb 04 2021,Al-Ittihad,4-1,Al-Fateh
